"MAJCOM, FOA, Etc",Organizational Level,Finding Type,Quantity,Item(s) discovered,Location,Action Taken
ACC,Squadron,Inappropriate/Offensive,1,unprofessional Calendar,Workplace Common Area,Removed
ACC,Squadron,Pornograhic,1,magazine,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,2,magazines,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,catalog,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,VHS tape,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,Nose Art Poster,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,Magazine,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,Song Lyrics,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,unprofessional pictures,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,unprofessional pictures,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,2,posters,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,5,unprofessional DVDs,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,magazine,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,unprofessional picture,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,poster,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,unprofessional picture,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,unprofessional picture,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,unprofessional picture,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,unprofessional picture,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,magazine,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,unprofessional picture,Workplace Common Area,Removed
ACC,Squadron,Inappropriate/Offensive,4,DVDs,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,magazine,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,Inappropriate cartoon,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,unprofessional picture,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,8,unprofessional pictures,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,21,Mugs,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,inappropriate display item,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,unprofessional picture,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,picture with inappropriate comment,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,unprofessional picture,Workplace Common Area,Removed
ACC,Squadron,Inappropriate/Offensive,1,collection of magazines and a doofer book,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,unprofessional picture,Workplace Common Area,Removed
ACC,Squadron,Inappropriate/Offensive,5,unprofessional pictures,Workplace Common Area,Removed
ACC,Squadron,Inappropriate/Offensive,5,Doofer books,Workplace Common Area,Removed
ACC,Squadron,Inappropriate/Offensive,7,unprofessional pictures,Workplace Common Area,Removed
ACC,Squadron,Inappropriate/Offensive,1,unprofessional video,Workplace Common Area,Removed
ACC,Squadron,Inappropriate/Offensive,455,images,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,magazine,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,12,pictures,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,sign,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,2,unprofessional sign,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,3,Bumper sticker,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,2,unprofessional sign,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,painting,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,100,pictures,Workplace Common Area,Removed
ACC,Squadron,Inappropriate/Offensive,4,Doofer books,Workplace Common Area,Removed
ACC,Squadron,Inappropriate/Offensive,4,Mugs,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,12,unprofessional callsigns,Workplace Common Area,Removed
ACC,Squadron,Inappropriate/Offensive,1,unprofessional pictures,Workplace Common Area,Removed
