"MAJCOM, FOA, Etc",Organizational Level,Finding Type,Quantity,Item(s) discovered,Location,Action Taken
ACC,Group,inappropriate/offensive,1,Comic,Workplace Common Area,removed
ACC,Group,inappropriate/offensive,13,commercial spoofs/sketch comedy/crude humor,computer files,removed
ACC,Group,inappropriate/offensive,7,Magazine,Workplace Common Area,removed
ACC,Group,unprofessional,1,Photo,Support break area,removed
ACC,Group,inappropriate/offensive,2,Demotivational posters,Workplace Common Area,removed
ACC,Group,inappropriate/offensive,17,Calendar,Workplace Common Area,removed
ACC,Group,inappropriate/offensive,2,Magazine,Workplace Common Area,removed
ACC,Group,inappropriate/offensive,1,Picture,shared drive,removed
ACC,Group,inappropriate/offensive,2,Images,Shared drive/office,removed
ACC,Group,unprofessional,4,Morale patch,Workplace Common Area,removed
ACC,Group,inappropriate/offensive,1,Poster,Shared drive,removed
ACC,Group,unprofessional,25,fighter songs,computer files,removed
ACC,Group,inappropriate/offensive,1,File title,computer files,Renamed the file
ACC,Group,inappropriate/offensive,5,Magazine,Workplace Common Area,removed
ACC,Group,inappropriate/offensive,1,Video,shared drive,removed
ACC,Group,inappropriate/offensive,20,flyers - inappropriate language/content/unprofessional material,Workplace Common Area,removed
ACC,Group,unprofessional,1,framed photo - 1940's era Nose Art From Aircraft,Shared drive,removed
ACC,Group,inappropriate/offensive,1,Picture,Workplace Common Area,removed
ACC,Group,inappropriate/offensive,4,Magazine,"",removed
ACC,Group,inappropriate/offensive,1,Drawing,Workplace Common Area,removed
ACC,Group,inappropriate/offensive,4,Advertisements,Workplace Common Area,removed
ACC,Group,inappropriate/offensive,1,Magazine,Workplace Common Area,removed
ACC,Group,inappropriate/offensive,5,Calendars and photos,Workplace Common Area,removed
ACC,Group,unprofessional,8,Morale patch images,Shared drive,removed
ACC,Group,inappropriate/offensive,1,Inappropriate Advertising image,Shared drive,removed
ACC,Group,unprofessional,1,Inappropriate caption on coin,Workplace Common Area,removed
ACC,Group,inappropriate/offensive,6,Inappropriate Motto - slogans,Workplace Common Area,removed
ACC,Group,inappropriate/offensive,74,Inappropriate photos,Shared drive/heritage room,removed
ACC,Group,inappropriate/offensive,1,Inappropriate quote on desk sticker,Workplace Common Area,removed
ACC,Group,inappropriate/offensive,1,Inappropriate slogan on coffee cup,Workplace Common Area,removed
ACC,Group,inappropriate/offensive,20,Inappropriate Video title - movie clip,Shared drive,removed
ACC,Group,inappropriate/offensive,1,Cheerleader Poster,Workplace Common Area,removed
ACC,Group,unprofessional,2,Joke book with some nudity/vulgar words,Workplace Common Area,removed
ACC,Group,unprofessional,1,Picture,shared drive,removed
ACC,Group,inappropriate/offensive,1,Photo,shared drive,removed
ACC,Group,inappropriate/offensive,1,Lewd gesture in photo,Workplace Common Area,removed
ACC,Group,inappropriate/offensive,1,Cardboard advertising cutout,Workplace Common Area,removed
ACC,Group,inappropriate/offensive,1,lighter w/inappropriate inscription,Housekeeping Office,removed
ACC,Group,inappropriate/offensive,2,"locker decorations w/offensive ""cartoon caption bubbles""",Workplace Common Area,removed
ACC,Group,inappropriate/offensive,1,Magazine,Workplace Common Area,removed
ACC,Group,inappropriate/offensive,1,Magnet - nose art reproduction,Workplace Common Area,removed
ACC,Group,inappropriate/offensive,1,Drawing on display item,Workplace Common Area,removed
ACC,Group,inappropriate/offensive,4,Magazine,Men's Bathroom/conference roo,removed
ACC,Group,inappropriate/offensive,10,Magazine,Workplace Common Area,removed
ACC,Group,unprofessional,1,Morale patch,Workplace Common Area,removed
ACC,Group,unprofessional,1,Morale patch - 1960's/1970's; not specifically quantified,Workplace Common Area,removed
ACC,Group,inappropriate/offensive,19,Movie containing suggestive images,Workplace Common Area,removed
ACC,Group,inappropriate/offensive,2,Magazine,Workplace Common Area,removed
ACC,Group,inappropriate/offensive,1,Poster,Workplace Common Area,removed
ACC,Group,inappropriate/offensive,5,offensive photos,Shared Drive,removed
ACC,Group,inappropriate/offensive,1,Image on slide,shared drive,removed
ACC,Group,inappropriate/offensive,1,Picture,shared drive,removed
ACC,Group,unprofessional,1,Morale patch,Workplace Common Area,removed
ACC,Group,inappropriate/offensive,6,Magazine,Workplace Common Area,removed
ACC,Group,inappropriate/offensive,28,Pictures of individuals--none explict,Shared drive,removed
ACC,Group,unprofessional,1,photo - Tail paint,shared drive,removed
ACC,Group,inappropriate/offensive,1,Photo of mbr with inappropriate caption,Workplace Common Area,removed
ACC,Group,inappropriate/offensive,2,pic - Obscene Gesture,Workplace Common Area,removed
ACC,Group,inappropriate/offensive,56,Pictures,Shared drive,removed
ACC,Group,inappropriate/offensive,1,Picture,Workplace Common Area,removed
ACC,Group,inappropriate/offensive,1,Picture,computer files,removed
ACC,Group,inappropriate/offensive,1,Picture,Workplace Common Area,removed
ACC,Group,inappropriate/offensive,1,Advertisement,shared drive,removed
ACC,Group,inappropriate/offensive,1,Image w/offensive language,Z: drive (common),removed
ACC,Group,inappropriate/offensive,2,Postcards w/language,Workplace Common Area,removed
ACC,Group,inappropriate/offensive,1,Picture,shared drive,removed
ACC,Group,inappropriate/offensive,5,ppt w/inappropriate statements,Shared drive,removed
ACC,Group,inappropriate/offensive,2,questionable music lyrics - movie clips,Shared drive,removed
ACC,Group,inappropriate/offensive,2,questionable pictures,Workplace Common Area,removed
ACC,Group,inappropriate/offensive,2,Questionable Quote comics,Workplace Common Area,removed
ACC,Group,inappropriate/offensive,2,Questionable Quotes on Shirts,Heritage Room,removed
ACC,Group,inappropriate/offensive,1,quote - Explicit Language,Workplace Common Area,removed
ACC,Group,inappropriate/offensive,1,R rated movie,Workplace Common Area,removed
ACC,Group,inappropriate/offensive,1,Magazine,Workplace Common Area,removed
ACC,Group,inappropriate/offensive,1,Magazine,Workplace Common Area,removed
ACC,Group,inappropriate/offensive,1,Calendar picture,Workplace Common Area,removed
ACC,Group,inappropriate/offensive,1,CD cover,Workplace Common Area,removed
ACC,Group,unprofessional,2,Suggestive/questionable quotes patches,Workplace Common Area,removed
ACC,Group,inappropriate/offensive,3,Video,shared drive,removed
ACC,Group,inappropriate/offensive,1,Image,Workplace Common Area,removed
ACC,Group,unprofessional,2,Photocopies of vintage aircraft art,Workplace Common Area,removed
ACC,Group,unprofessional,2,song,Shared Drive,removed
ACC,Group,inappropriate/offensive,1,Pic,shared drive,removed
ACC,Group,inappropriate/offensive,1,Magazine,Workplace Common Area,removed
ACC,Group,unprofessional,1,Mug,Workplace Common Area,removed
ACC,Group,inappropriate/offensive,1,Pic,shared drive,removed
ACC,Group,inappropriate/offensive,1,joke essay,Workplace Common Area,removed
ACC,Group,inappropriate/offensive,1,Suggestive nose art,Workplace Common Area,removed
ACC,Group,inappropriate/offensive,16,Suggestive images,Shared drive,removed
ACC,Group,inappropriate/offensive,1,pic,shared drive,removed
ACC,Group,inappropriate/offensive,1,toy w/offensive quotes,Workplace Common Area,removed
ACC,Group,inappropriate/offensive,1,pic,shared drive,removed
ACC,Group,inappropriate/offensive,1,pic,shared drive,removed
ACC,Group,unprofessional,2,Songbook,Shared Drive,removed
ACC,Group,inappropriate/offensive,21,unprofessional blooper videos,shared drive,removed
ACC,Group,inappropriate/offensive,1,Magazine,Workplace Common Area,removed
ACC,Group,inappropriate/offensive,5,Video file containing suggestive images,Shared drive,removed
ACC,Group,inappropriate/offensive,1,Pic,shared drive,removed
ACC,Group,inappropriate/offensive,1,Pic,shared drive,removed
ACC,Group,inappropriate/offensive,2,Magazine,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Advertisement,Shared drive,removed
ACC,squadron,inappropriate/offensive,237,"""demotivational"" images",Shared drive,removed
ACC,squadron,inappropriate/offensive,30,Images,Shared drive,removed
ACC,squadron,inappropriate/offensive,40,Images,Shared drive,removed
ACC,squadron,inappropriate/offensive,44,photos,Shared drive,removed
ACC,squadron,inappropriate/offensive,1,movie clip,Shared drive,removed
ACC,squadron,inappropriate/offensive,2,TV show clip,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,2,derogatory cartoon strips,Shared drive,removed
ACC,squadron,inappropriate/offensive,1,Poster,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Image on slide,NIPR,removed
ACC,squadron,inappropriate/offensive,1,Derogatory photo,NIPR,removed
ACC,squadron,inappropriate/offensive,1,Advertisement,NIPR,removed
ACC,squadron,inappropriate/offensive,1,Cheerleader calendar,Workplace Common Area,removed
ACC,squadron,unprofessional,1,Log book (derogatory events/stories),Workplace Common Area,removed
ACC,squadron,unprofessional,1,Log book (language),Workplace Common Area,removed
ACC,squadron,unprofessional,1,Joke guide book,computer,removed
ACC,squadron,inappropriate/offensive,1,Pics,NIPR,removed
ACC,squadron,inappropriate/offensive,2,Crash video with explicit language,NIPR Shared Drive,removed
ACC,squadron,unprofessional,17,word documents w/language & drinking references,NIPR,removed
ACC,squadron,inappropriate/offensive,1,music file including vulgar and inappropriate language,Shared drive,removed
ACC,squadron,inappropriate/offensive,1,advertisements,NIPR,removed
ACC,squadron,inappropriate/offensive,1,Magazine,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,TV clip,SIPR,removed
ACC,squadron,inappropriate/offensive,1,Joke rank chart,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Movie,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Movie,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Cartoon,NIPR,removed
ACC,squadron,inappropriate/offensive,1,Movie,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Movie,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Movie,Workplace Common Area,removed
ACC,squadron,pornography,1,Movie,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,2,Magazines,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Movie,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,2,Movie,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Movie,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,joke display item,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,joke complaint folder,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,joke display item,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,2,Magazine,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Video clip,Shared drive,removed
ACC,squadron,inappropriate/offensive,2,Magazine,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Book with suggestive cover and text,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Movie,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,TV show clip,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Movie,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,"""demotivational"" posters ppt",NIPR Shared Drive,removed
ACC,squadron,unprofessional,33,"""Doofer books"" - Stories with explicit language",Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,TV clip,Shared drive,removed
ACC,squadron,inappropriate/offensive,1,Derogatory photo,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Magazine,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Song w/reference to drug use,NIPR,removed
ACC,squadron,inappropriate/offensive,2,Magazine,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Movie,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,display item,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Magazine,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,2,Ads,NIPR,removed
ACC,squadron,inappropriate/offensive,1,Photo w/inappropriate hand gesture,Shared drive,removed
ACC,squadron,inappropriate/offensive,1,Movie,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Movie poster,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,7,"""joke"" billboards and road signs with inappropriate content",shared drive,removed
ACC,squadron,inappropriate/offensive,1,TV clip,NIPR,removed
ACC,squadron,inappropriate/offensive,1,Movie,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,5,Magazine,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Movie,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,"""motivational"" poster",computer,removed
ACC,squadron,inappropriate/offensive,1,Sign,Shower,removed
ACC,squadron,unprofessional,18,Nose art,shared drive,removed
ACC,squadron,inappropriate/offensive,1,Radio show excerpts (language),NIPR,removed
ACC,squadron,inappropriate/offensive,1,Sign (language),NIPR,removed
ACC,squadron,inappropriate/offensive,2,Magazine,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,TV special,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Shotglass w/inappropriate label,Workplace Common Area,removed
ACC,squadron,unprofessional,1,Patch,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Sign w/derogatory connotation,NIPR,removed
ACC,squadron,inappropriate/offensive,1,Movie,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Song w/reference to drug use,NIPR,removed
ACC,squadron,inappropriate/offensive,1,Magazine,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Movie,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Movie,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Blooper videos,NIPR,removed
ACC,squadron,inappropriate/offensive,5,Derogatory cartoon strips,Shared drive,removed
ACC,squadron,inappropriate/offensive,1,Movie,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Shotglass w/inappropriate label,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Magazine,Ladies Restroom,removed
ACC,squadron,inappropriate/offensive,1,Inappropriate text typed on computer screen,Services/Supply Computer Scre,removed
ACC,squadron,inappropriate/offensive,1,Catalog,Ladies Restroom,removed
ACC,squadron,inappropriate/offensive,1,File w/inappropriate macro animation,NIPR Shared Drive,removed
ACC,squadron,inappropriate/offensive,1,Video clip,NIPR,removed
ACC,squadron,inappropriate/offensive,1,Images on slide,NIPR,removed
ACC,squadron,pornography,1,Images on slide,NIPR,removed
ACC,squadron,unprofessional,1,Ledger (language),Workplace Common Area,removed
ACC,squadron,unprofessional,5,"Ledger (language, image)",Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Video,NIPR,removed
ACC,squadron,inappropriate/offensive,2,Magazine,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Images on slides,NIPR,removed
ACC,squadron,inappropriate/offensive,1,Acronym in file names,NIPR,removed
ACC,squadron,inappropriate/offensive,1,Inappropriate photos on slide,SIPR,removed
ACC,squadron,inappropriate/offensive,1,Calendar,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Calendar,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Inappropriate photos on slide,SIPR,removed
ACC,squadron,inappropriate/offensive,1,3 GB audio files - some inappropriate lyrics/suggestive themed music; not specifically quantifie,Music computer in vault,removed
ACC,squadron,inappropriate/offensive,2,Video clip,NIPR Shared Drive,removed
ACC,squadron,inappropriate/offensive,12,Magazines,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Poster,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Photos in brief,SIPR,removed
ACC,squadron,inappropriate/offensive,1,Photo (1980's),Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Language in brief,NIPR,removed
ACC,squadron,inappropriate/offensive,1,Fake billboard,NIPR,removed
ACC,squadron,inappropriate/offensive,1,Fake billboard,NIPR,removed
ACC,squadron,inappropriate/offensive,1,Joke,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Fake sign (derogatory),NIPR,removed
ACC,squadron,inappropriate/offensive,1,Derogatory comparison list,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Document name,Shared Drive,removed
ACC,squadron,inappropriate/offensive,1,Cartoon,NIPR,removed
ACC,squadron,unprofessional,1,List of call signs,NIPR,removed
ACC,squadron,inappropriate/offensive,1,Derogatory photo caption,NIPR,removed
ACC,squadron,inappropriate/offensive,1,Book cover,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Language on slide,NIPR,removed
ACC,squadron,inappropriate/offensive,1,Picture and caption,NIPR,removed
ACC,squadron,inappropriate/offensive,1,Song with inappropriate lyrics,NIPR Shared Drive,removed
ACC,squadron,unprofessional,6,Scripts for social events w/language,NIPR,removed
ACC,squadron,inappropriate/offensive,1,Image/caption,NIPR,removed
ACC,squadron,inappropriate/offensive,1,Cartoon,NIPR,removed
ACC,squadron,inappropriate/offensive,1,Image,NIPR,removed
ACC,squadron,unprofessional,1,Historic photo with inappropriate images in background,Shared Drive,removed
ACC,squadron,unprofessional,1,Historic photo of inappropriate troop entertainment,Shared Drive,removed
ACC,squadron,inappropriate/offensive,1,Song w/inappropriate lyrics,NIPR Shared Drive,removed
ACC,squadron,inappropriate/offensive,1,Magazines,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Movie-based advertisement,Shared drive,removed
ACC,squadron,inappropriate/offensive,1,Advertisement,Dorm - Common area,removed
ACC,squadron,inappropriate/offensive,1,Fake billboard,NIPR,removed
ACC,squadron,unprofessional,1,Cartoon depictions in Air Force Instruction,NIPR,removed
ACC,squadron,inappropriate/offensive,1,Video,NIPR Shared Drive,removed
ACC,squadron,inappropriate/offensive,1,Magazine,Gym,removed
ACC,squadron,inappropriate/offensive,1,Magazine,Male's Bathroom,removed
ACC,squadron,inappropriate/offensive,1,Movie video clip,NIPR Shared Drive,removed
ACC,squadron,unprofessional,1,Slide,NIPR,removed
ACC,squadron,inappropriate/offensive,6,Mugs,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Video clip,NIPR,removed
ACC,squadron,inappropriate/offensive,1,Sign,NIPR,removed
ACC,squadron,inappropriate/offensive,2,Images on spreadhseet,NIPR,removed
ACC,squadron,inappropriate/offensive,1,Illustration,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Joke form,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Image,Shared Drive,removed
ACC,squadron,inappropriate/offensive,1,Picture,shared drive,removed
ACC,squadron,inappropriate/offensive,1,Artwork,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Powerpoint presentation,NIPR,removed
ACC,squadron,inappropriate/offensive,1,Language in document,NIPR,removed
ACC,squadron,inappropriate/offensive,1,Documents and audio files; not specifically quantified,shared drive,removed
ACC,squadron,inappropriate/offensive,1,Audio,shared drive,removed
ACC,squadron,inappropriate/offensive,1,Picture,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Autographed picture,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Autographed poster,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,2,Postcards w/inappropriate photos,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Inappropriate images on slides,NIPR,removed
ACC,squadron,inappropriate/offensive,1,Poster,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Birthday card w/inappropriate image,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,baseball hat w/offensive wording,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,3,Social pictures w/inappropriate content,shared drive,removed
ACC,squadron,inappropriate/offensive,1,Magnet,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Magnet,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,TV show DVD,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Beer sign,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Song w/suggestive lyrics,NIPR,removed
ACC,squadron,inappropriate/offensive,1,magazine cover,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,2,model calendar,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,billboard photo,NIPR,removed
ACC,squadron,inappropriate/offensive,1,fake billboard,NIPR,removed
ACC,squadron,inappropriate/offensive,1,fake billboard,NIPR,removed
ACC,squadron,inappropriate/offensive,1,Fake billboard,NIPR,removed
ACC,squadron,unprofessional,1,Binder containing 10 vulgar songs (1994),Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Image on birthday gift bag,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Image,Shared drive,removed
ACC,squadron,inappropriate/offensive,1,Image,Shared drive,removed
ACC,squadron,inappropriate/offensive,3,Photos,shared drive,removed
ACC,squadron,inappropriate/offensive,1,Joke book w/some suggestive jokes,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,2,books with suggested callsigns,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,2,bottles of expired medication,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Advertisement,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Video,NIPR,removed
ACC,squadron,inappropriate/offensive,1,Brochure,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,2,TV commercial,NIPR Shared Drive,removed
ACC,squadron,inappropriate/offensive,1,Fake ad,Workplace Common Area,removed
ACC,squadron,unprofessional,1,Call sign auction and morale guide (language and innuendo),NIPR,removed
ACC,squadron,inappropriate/offensive,1,Cartoon,Shared Drive,removed
ACC,squadron,inappropriate/offensive,1,Fake commercial,NIPR,removed
ACC,squadron,inappropriate/offensive,1,Car mag,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Commercial,NIPR,removed
ACC,squadron,inappropriate/offensive,1,SPIN w/suggestive codeword,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Stand up comedy file,computer files,removed
ACC,squadron,inappropriate/offensive,3,Catalogs,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,CD with inappropriate pics,Workplace Common Area,removed
ACC,squadron,unprofessional,3,CDs of songs w/vulgar language,Snack bar CD-Player,removed
ACC,squadron,inappropriate/offensive,5,CDs w/ Explicit titles and lyrics,Workplace Common Area,removed
ACC,squadron,unprofessional,1,Challenge coin,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Cartoon,NIPR,removed
ACC,squadron,inappropriate/offensive,1,Picture,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Video,NIPR,removed
ACC,squadron,inappropriate/offensive,4,Explicit Language/Suggestive Pics on Ceiling tiles,Squadron heritage Room,removed
ACC,squadron,inappropriate/offensive,1,TV clip,SIPR,removed
ACC,squadron,inappropriate/offensive,1,Video,SIPR,removed
ACC,squadron,unprofessional,1,Coin (non-explicit),Workplace Common Area,removed
ACC,squadron,unprofessional,6,coins with inappropriate images,Workplace Common Area
ACC,squadron,unprofessional,3,Coins with inappropriate images,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Movie clip,SIPR,removed
ACC,squadron,inappropriate/offensive,3,Comedy songs with inappropriate language,computer files,removed
ACC,squadron,inappropriate/offensive,5,Comedy videos with inappropriate language,computer files,removed
ACC,squadron,inappropriate/offensive,1,Comic picture containing offensive caption,NIPR,removed
ACC,squadron,inappropriate/offensive,1,comic strip,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,comic strip,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,comic strips with profane language,NIPR,removed
ACC,squadron,inappropriate/offensive,1,Comic-type Joke,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,commercial,NIPR Shared Drive,removed
ACC,squadron,inappropriate/offensive,1,commercial,SIPR,removed
ACC,squadron,inappropriate/offensive,1,Commercial,DVD,removed
ACC,squadron,inappropriate/offensive,1,Common area poster,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,7,Culturally insensitive slides,SIPR,removed
ACC,squadron,inappropriate/offensive,1,inappropriate image on slide,SIPR,removed
ACC,squadron,unprofessional,3,photo of patch (language/innuendo),Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,2,photos with inappropriate captions,shared drive,removed
ACC,squadron,inappropriate/offensive,3,TV/Movie VHS/DVDs,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Joke handbook (derogatory/vulgar),NIPR,removed
ACC,squadron,inappropriate/offensive,2,Magazine,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Derogatory photo caption,NIPR Shared Drive,removed
ACC,squadron,inappropriate/offensive,1,Newspaper cover,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,2,Workout videos w/sexual references,NIPR,removed
ACC,squadron,inappropriate/offensive,1,Crud rules (language),Officer's Club,removed
ACC,squadron,inappropriate/offensive,1,Derogatory cartoon,NIPR Shared Drive,removed
ACC,squadron,inappropriate/offensive,1,culturally insensitive slide,SIPR,removed
ACC,squadron,inappropriate/offensive,1,culturally insensitive slide,SIPR,removed
ACC,squadron,inappropriate/offensive,1,autographed cheerleader picture,Heritage Room,removed
ACC,squadron,unprofessional,1,Naming ROE - inappropriate language/references,NIPR,removed
ACC,squadron,unprofessional,1,Handbook promoting unprofessional behavior,NIPR,removed
ACC,squadron,unprofessional,2,"""Nose art"" decals",Heritage Room,removed
ACC,squadron,inappropriate/offensive,1,deck of playing cards,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,2,display items,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,decorative sign w/profanity,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Degrading drawings hanging on wall,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Video,NIPR Shared Drive,removed
ACC,squadron,unprofessional,1,"deployed log (language, images, derogatory characterizations)",Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Photo showing inappropriate patch,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Photo w/inappropriate gesture,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Photo of mbrs not wearing shirts,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,display item (language),Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,figurine,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,images on slides; not specifically quantified,Support Computer (individual w,removed
ACC,squadron,inappropriate/offensive,1,graffiti on dirty vehicle,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,Photo,NIPR Shared Drive,removed
ACC,squadron,inappropriate/offensive,1,Photo,NIPR Shared Drive,removed
ACC,squadron,inappropriate/offensive,1,Video,NIPR,removed
ACC,squadron,inappropriate/offensive,1,Video,NIPR,removed
ACC,squadron,inappropriate/offensive,1,Video,NIPR,removed
ACC,squadron,inappropriate/offensive,1,Video,NIPR,removed
ACC,squadron,inappropriate/offensive,1,Photo,NIPR,removed
ACC,squadron,inappropriate/offensive,1,Video,NIPR,removed
ACC,squadron,inappropriate/offensive,1,Video,NIPR,removed
ACC,squadron,inappropriate/offensive,1,doc w/inappropriate language,NIPR,removed
ACC,squadron,inappropriate/offensive,1,doc w/personal content,NIPR Shared Drive,removed
ACC,squadron,inappropriate/offensive,1,doc w/inappropriate language,NIPR Shared Drive,removed
ACC,squadron,inappropriate/offensive,1,doc w/inappropriate language,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,fake dollar bill,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,video,NIPR,removed
ACC,squadron,inappropriate/offensive,1,video (ad),NIPR Shared Drive,removed
ACC,squadron,inappropriate/offensive,2,drawing,NIPR,removed
ACC,squadron,inappropriate/offensive,1,cartoon w/inappropriate language,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,7,anatomy drawings,shared drive,removed
ACC,squadron,inappropriate/offensive,1,plaque w/suggestive gesture,Squadron heritage Room,removed
ACC,squadron,inappropriate/offensive,1,E-card printout,Workplace Common Area,removed
ACC,squadron,inappropriate/offensive,1,email w/inappropriate language,Shared drive,removed
ACC,squadron,inappropriate/offensive,1,email w/inappropriate language,Shared drive,removed
