"MAJCOM, FOA, Etc",Organizational Level,Finding Type,Quantity,Item(s) discovered,Location
ACC,Squadron,Inappropriate/Offensive,1,flyer,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,language on item,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,computer background,Workplace Common Area
ACC,Squadron,Unprofessional,5,R- Rated movies,Workplace Common Area
ACC,Squadron,Unprofessional,2,magazines,Workplace Common Area
ACC,Squadron,Unprofessional,3,stickers,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,personal item,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,graffiti,Workplace Common Area
ACC,Squadron,Unprofessional,6,magazines,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,2,photos,Workplace Common Area
ACC,Squadron,Unprofessional,1,log book,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,lewd saying,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,graffiti,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,booklet,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,sticker,Workplace Common Area
ACC,Squadron,Unprofessional,5,videos,Share drive
ACC,Squadron,Inappropriate/Offensive,1,unprofessional screensaver,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,offensive cartoon,Workplace Common Area
ACC,Squadron,Unprofessional,1,holiday décor,Workplace Common Area
ACC,Group,Unprofessional,2,videos,Share drive
ACC,Group,Unprofessional,1,photo,Share drive
ACC,Center,Unprofessional,41,newspaper cartoons,Share drive
ACC,Center,Unprofessional,3,magazines,Workplace Common Area
ACC,Center,Inappropriate/Offensive,2,posters,Workplace Common Area
ACC,Center,Unprofessional,1,bottle of alcohol,Workplace Common Area
ACC,Center,Inappropriate/Offensive,1,figurine,Workplace Common Area
ACC,Squadron,Unprofessional,1,pictures,Share drive
ACC,Squadron,Unprofessional,1,catalog,Workplace Common Area
ACC,Squadron,Unprofessional,3,posters,Workplace Common Area
ACC,Squadron,Unprofessional,3,sculptures,Workplace Common Area
ACC,Squadron,Unprofessional,1,picture,Workplace Common Area
ACC,Squadron,Unprofessional,1,picture,Workplace Common Area
ACC,Staff,Unprofessional,2,posters,Workplace Common Area
ACC,Staff,Unprofessional,2,unprofessional saying,Share drive
ACC,Staff,Unprofessional,7,foreign TV commercials,Share drive
ACC,Staff,Unprofessional,2,signs,Workplace Common Area
ACC,Group,Unprofessional,5,magazines,Workplace Common Area
ACC,Group,Unprofessional,7,recorded jokes/sayings/phrases,Workplace Common Area
ACC,Group,Unprofessional,2,magazines,Workplace Common Area
ACC,Group,Unprofessional,5,photos,Workplace Common Area
