"MAJCOM, FOA, Etc",Organizational Level,Finding Type,Quantity,Item(s) discovered,Location
ACC,Maintenance Area,Inappropriate/Offensive,3,Inappropriate Photo / On Sharedrive,WORK PLACE COMMON ARE
ACC,Maintenance Area,Inappropriate/Offensive,1,Lewd Photo / On Sharedrive,Office Computer
ACC,Maintenance Area,Inappropriate/Offensive,3,1 Lewd 2 inappropriate Photos / On Sharedrive,Office Computer
ACC,Maintenance Area,Inappropriate/Offensive,1,Lewd Video / On Sharedrive,Office Computer
ACC,Maintenance Area,Inappropriate/Offensive,8,Fitness Magazines (suggestive pictures),WORK PLACE COMMON ARE
ACC,Maintenance Area,Inappropriate/Offensive,1,Magazine (suggestive pictures),WORK PLACE COMMON ARE
ACC,Maintenance Area,Inappropriate/Offensive,1,Poster (old a/c art - suggestive),WORK PLACE COMMON ARE
ACC,Maintenance Area,Inappropriate/Offensive,2,Poster (offensive language),WORK PLACE COMMON ARE
ACC,Maintenance Area,Inappropriate/Offensive,1,Drinking Cup (inappropriate language/photo),WORK PLACE COMMON ARE
ACC,Maintenance Area,Inappropriate/Offensive,1,Biker Magazine (suggestive pictures),WORK PLACE COMMON ARE
ACC,Maintenance Area,Inappropriate/Offensive,1,Sticker (inappropriate),WORK PLACE COMMON ARE
ACC,Maintenance Area,Inappropriate/Offensive,2,Magazine (suggestive pictures),WORK PLACE COMMON ARE
ACC,Maintenance Area,Inappropriate/Offensive,1,Harley Magazine (suggestive pictures),WORK PLACE COMMON ARE
ACC,Maintenance Area,Inappropriate/Offensive,2,Pictures (inappropriate photos/video),Shared Drive
ACC,AOC,Inappropriate/Offensive,5,INAPPROPRIATE PICS,WORK PLACE COMMON ARE
ACC,AOC,Inappropriate/Offensive,1,INAPPROPRIATE COMIC STRIP,WORK PLACE COMMON ARE
ACC,AOC,Inappropriate/Offensive,2,INAPPROPRIATE PICS,WORK PLACE COMMON ARE
ACC,AOC,Inappropriate/Offensive,1,INAPPROPRIATE PIC,WORK PLACE COMMON ARE
ACC,AOC,Inappropriate/Offensive,1,INAPPROPRIATE CALENDAR,INDIVIDUAL WORK SPACE
ACC,Staff,Inappropriate/Offensive,1,INAPPROPRIATE PIC,WORK PLACE COMMON ARE
ACC,Squadron,Inappropriate/Offensive,1,Bumper Sticker suggestive language,WORK PLACE COMMON ARE
ACC,Squadron,Inappropriate/Offensive,5,Photos and calendars,Shared computer drives
ACC,Squadron,Inappropriate/Offensive,1,Image on mouse pad,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,7,Inappropriate movies for common area,WORK PLACE COMMON ARE
ACC,Squadron,Inappropriate/Offensive,1,Inappropriate catalog on table,WORK PLACE COMMON ARE
ACC,Squadron,Inappropriate/Offensive,3,Derogatory call signs,WORK PLACE COMMON ARE
ACC,Squadron,Inappropriate/Offensive,2,Inappropriate magazines,WORK PLACE COMMON ARE
ACC,Squadron,Inappropriate/Offensive,1,Inappropriate magnet,WORK PLACE COMMON ARE
ACC,Squadron,Inappropriate/Offensive,4,Inappropriate stickers,WORK PLACE COMMON ARE
ACC,Squadron,Inappropriate/Offensive,1,Inappropriate nickname written on cardboard,WORK PLACE COMMON ARE
ACC,Squadron,Inappropriate/Offensive,1,Inappropriate calendar,WORK PLACE COMMON ARE
ACC,Squadron,Inappropriate/Offensive,1,Inappropriate picture,WORK PLACE COMMON ARE
ACC,Squadron,Inappropriate/Offensive,2,Inappropriate magazines,WORK PLACE COMMON ARE
ACC,Squadron,Inappropriate/Offensive,1,inappropriate magazine,WORK PLACE COMMON ARE
ACC,Squadron,Inappropriate/Offensive,3,Inappropriate posters,WORK PLACE COMMON ARE
ACC,Squadron,Inappropriate/Offensive,1,Inappropriate desktop “wallpaper”,WORK PLACE COMMON ARE
ACC,Squadron,Inappropriate/Offensive,5,Inappropriate movies for common area,WORK PLACE COMMON ARE
ACC,Squadron,Inappropriate/Offensive,1,inappropriate poster,WORK PLACE COMMON ARE
ACC,Squadron,Inappropriate/Offensive,2,inappropriate poster stickers,WORK PLACE COMMON ARE
ACC,Squadron,Inappropriate/Offensive,1,3 Lewd Pic files,WORK PLACE COMMON ARE
ACC,Squadron,Inappropriate/Offensive,6,Inappropriate stickers,WORK PLACE COMMON ARE
ACC,Squadron,Inappropriate/Offensive,1,Inappropriate graffiti,Men’s Restroom
ACC,Squadron,Inappropriate/Offensive,2,inappropriate stickers,WORK PLACE COMMON ARE
ACC,Squadron,Inappropriate/Offensive,1,Inappropriate graffiti,WORK PLACE COMMON ARE
ACC,Squadron,Inappropriate/Offensive,1,Inappropriate graffiti,WORK PLACE COMMON ARE
ACC,Squadron,Inappropriate/Offensive,1,Inappropriate graffiti,WORK PLACE COMMON ARE
ACC,Squadron,Inappropriate/Offensive,3,Inappropriate stickers,WORK PLACE COMMON ARE
ACC,Squadron,Inappropriate/Offensive,1,Unknown meaning of sticker,WORK PLACE COMMON ARE
ACC,Squadron,Inappropriate/Offensive,2,Personal/inappropriate photos,WORK PLACE COMMON ARE
ACC,Squadron,Inappropriate/Offensive,1,Unknown meaning of graffiti,WORK PLACE COMMON ARE
ACC,Squadron,Inappropriate/Offensive,5,Derogatory images,WORK PLACE COMMON ARE
ACC,Squadron,Inappropriate/Offensive,1,Offensive writing,on latrine board
ACC,Squadron,Inappropriate/Offensive,1,Indecipherable  graffiti,WORK PLACE COMMON ARE
ACC,Squadron,Inappropriate/Offensive,1,Inappropriate graffiti,WORK PLACE COMMON ARE
ACC,Squadron,Inappropriate/Offensive,8,Inappropriate stickers,WORK PLACE COMMON ARE
ACC,Squadron,Inappropriate/Offensive,2,Inappropriate stickers/,WORK PLACE COMMON ARE
ACC,Squadron,Inappropriate/Offensive,1,Indecipherable  graffiti,WORK PLACE COMMON ARE
ACC,Squadron,Inappropriate/Offensive,1,Inappropriate poster (language),WORK PLACE COMMON ARE
ACC,Squadron,Inappropriate/Offensive,2,Inappropriate posters,WORK PLACE COMMON ARE
ACC,Squadron,Inappropriate/Offensive,1,Inappropriate drawing,WORK PLACE COMMON ARE
ACC,Squadron,Inappropriate/Offensive,1,Inappropriate shirt hung on wall,WORK PLACE COMMON ARE
ACC,Squadron,Inappropriate/Offensive,1,Inappropriate mouse pad,WORK PLACE COMMON ARE
ACC,Squadron,Inappropriate/Offensive,2,Inappropriate catalogs,WORK PLACE COMMON ARE
ACC,Squadron,Inappropriate/Offensive,6,Inappropriate magazines,WORK PLACE COMMON ARE
ACC,Squadron,Inappropriate/Offensive,1,Inappropriate sticker on exit door,WORK PLACE COMMON ARE
ACC,Squadron,Inappropriate/Offensive,1,Inappropriate calendar,Dorm Common Area
ACC,Squadron,Inappropriate/Offensive,1,Inappropriate comment written on a board,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,Inappropriate poster,Dorm Common Area
ACC,Dormitories,Inappropriate/Offensive,17,inappropriate magazines,Dorm Common Area
ACC,Dormitories,Inappropriate/Offensive,7,inappropriate magazines,Dorm Common Area
ACC,Dormitories,Inappropriate/Offensive,3,romance books,Dorm Common Area
ACC,Dormitories,Inappropriate/Offensive,3,inappropriate magazines,Dorm Common Area
ACC,Dormitories,Inappropriate/Offensive,1,inappropriate CD,Dorm Common Area
ACC,Squadron,Inappropriate/Offensive,1,Lewd Graffiti,In Stalls
ACC,Squadron,Inappropriate/Offensive,1,Lewd Graffiti,In Stalls
ACC,Squadron,Inappropriate/Offensive,25,Lewd Graffiti,In Stalls
ACC,Squadron,Inappropriate/Offensive,62,inappropriate magazines,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,46,inappropriate magazines,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,2,inappropriate calendars,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,2,inappropriate posters,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,inappropriate screensaver,Individual Workspace
ACC,Squadron,Inappropriate/Offensive,3,inappropriate pictures,Individual Workspace
ACC,Squadron,Inappropriate/Offensive,4,inappropriate stickers,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,inappropriate sign,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,inappropriate drawing,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,inappropriate mural,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,inappropriate barrier,Base Common Area
ACC,Squadron,Inappropriate/Offensive,2,inappropriate magazines,Individual Workspace
ACC,Squadron,Inappropriate/Offensive,1,inappropriate picture,Individual Workspace
ACC,Squadron,Inappropriate/Offensive,13,inappropriate instructional signs,Dorm Common Area
ACC,Squadron,Inappropriate/Offensive,15,inappropriate magazines,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,100,inappropriate stickers,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,7,inappropriate posters,Individual Workspace
ACC,Squadron,Inappropriate/Offensive,2,inappropriate magazines,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,inappropriate screensaver,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,20,Inappropriate Magazines,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,Alcohol related poster,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,Box of condoms,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,2,Religious books,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,6,Documents containing sayings or jokes (unprofessional overtone),Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,Poster (unprofessional overtone),Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,Metal Sign (unprofessional overtone),Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,3,Latrine walls unprofessional/obscene language,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,3,Electronic countdown calendars,Workplace Common Area
ACC,Group,Inappropriate/Offensive,1,Cheerleader calendar,Workplace Common Area
ACC,Group,Inappropriate/Offensive,1,bumper sticker,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,9,bumper stickers,Stuck to railings and tables in p
ACC,Squadron,Inappropriate/Offensive,1,inappropriate image,Morale laptop
ACC,Group,Inappropriate/Offensive,271,items,Workplace Common Area
ACC,Group,Inappropriate/Offensive,90,Posters/Calendar/Pictures,Workplace Common Area
ACC,Group,Inappropriate/Offensive,3,"Books(logbooks, etc.)",Workplace Common Area
ACC,Group,Inappropriate/Offensive,12,Graffiti,Workplace Common Area
ACC,Group,Inappropriate/Offensive,10,"IA (files, mouse pads, etc.)",Workplace Common Area
ACC,Group,Inappropriate/Offensive,8,Movies,Workplace Common Area
ACC,Group,Inappropriate/Offensive,13,Other,Workplace Common Area
ACC,Group,Inappropriate/Offensive,4,DVDs,Workplace Common Area
ACC,Group,Inappropriate/Offensive,5,pictures,Workplace Common Area
ACC,Group,Inappropriate/Offensive,1,picture,Workplace Common Area
ACC,Group,Inappropriate/Offensive,12,magazines,Workplace Common Area
ACC,Group,Inappropriate/Offensive,1,DVD,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,Sexual graffiti,In all bathroom stalls (transient)
ACC,Squadron,Inappropriate/Offensive,1,calendar,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,Sexual graffiti,Wall of bathroom stall
ACC,Squadron,Inappropriate/Offensive,1,Sexual graffiti,On wall above urinal
ACC,Squadron,Inappropriate/Offensive,5,pictures,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,Sexual graffiti,Wall of bathroom stall
ACC,Squadron,Inappropriate/Offensive,1,Lewd graffiti,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,6,magazines,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,DVD,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,2,catalogues,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,poster,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,3,DVDs,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,2,DVDs,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,Poster,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,Calendar,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,2,Posters,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,catalogue,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,5,sexual graffiti,On walls of portable latrines
ACC,Group,Inappropriate/Offensive,7,pictures,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,14,magazines,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,catalogue,Workplace Common Area
ACC,Wing Staff Agency,Inappropriate/Offensive,1,picture,Workplace Common Area
ACC,Wing Staff Agency,Inappropriate/Offensive,14,Inappropriate files - shared drive (not lewd),Workplace Common Area
ACC,Wing Staff Agency,Inappropriate/Offensive,2,Magazines,Workplace Common Area
ACC,Wing Staff Agency,Inappropriate/Offensive,1,Historical Nose Art Photos in display case,Workplace Common Area
ACC,Wing Staff Agency,Inappropriate/Offensive,1,Small Confederate Flag,Workplace Common Area
ACC,Wing Staff Agency,Inappropriate/Offensive,1,Newspaper Article Retraction(sexual connotation),Workplace Common Area
ACC,Wing Staff Agency,Inappropriate/Offensive,2,Inappropriate Comments on dry erase board in common area,Dorm
ACC,Wing Staff Agency,Inappropriate/Offensive,1,Inappropriate drawing on dry erase board in common area,Dorm
ACC,Wing Staff Agency,Inappropriate/Offensive,1,magazine cover,Dorm
ACC,Wing Staff Agency,Inappropriate/Offensive,1,Inappropriate sign posted in common area,Dorm
ACC,Wing Staff Agency,Inappropriate/Offensive,1,Inappropriate postcard in common area,Dorm
ACC,Wing Staff Agency,Inappropriate/Offensive,1,CD/DVD - explicit material (was in unused/unnamed locker),Workplace Common Area
ACC,Wing Staff Agency,Inappropriate/Offensive,343,Picture - Shared Drive (non-duty related),Workplace Common Area
ACC,Wing Staff Agency,Inappropriate/Offensive,16,Personnel Desktop backgrounds/emails/files,Workplace Common Area
ACC,Wing Staff Agency,Inappropriate/Offensive,1,Calendar,Workplace Common Area
ACC,Wing Staff Agency,Inappropriate/Offensive,2,Poster,Workplace Common Area
ACC,Wing Staff Agency,Inappropriate/Offensive,45,Notices in common areas (hand written comments),Workplace Common Area
ACC,Wing Staff Agency,Inappropriate/Offensive,1,holiday décor,Workplace Common Area
ACC,Wing Staff Agency,Inappropriate/Offensive,4,Jokes on Whiteboard,Workplace Common Area
ACC,Wing Staff Agency,Inappropriate/Offensive,1,Cartoon Strip,Workplace Common Area
ACC,Wing Staff Agency,Inappropriate/Offensive,1,Lewd Joke picture,Workplace Common Area
ACC,Wing Staff Agency,Inappropriate/Offensive,1,Inappropriate picture,Workplace Common Area
ACC,Wing Staff Agency,Inappropriate/Offensive,4,Suggestive Posters,Workplace Common Area
ACC,Wing Staff Agency,Inappropriate/Offensive,2,Inappropriate files - shared drive (not lewd),Workplace Common Area
ACC,Wing Staff Agency,Inappropriate/Offensive,1,Heritage Mural,Workplace Common Area
ACC,Wing Staff Agency,Inappropriate/Offensive,2,Magazine,Workplace Common Area
ACC,Wing Staff Agency,Inappropriate/Offensive,1,Inappropriate Nametag,Workplace Common Area
ACC,Wing Staff Agency,Inappropriate/Offensive,15,Notices in common areas (hand written comments),Workplace Common Area
ACC,Wing Staff Agency,Inappropriate/Offensive,26,VHS R-Rated Movies,Workplace Common Area
ACC,Wing Staff Agency,Inappropriate/Offensive,1,Doofer Book,Workplace Common Area
ACC,Wing Staff Agency,Inappropriate/Offensive,1,Music CD with offensive songs - presented by Vietnam Alumni,Workplace Common Area
ACC,Wing Staff Agency,Inappropriate/Offensive,1,Inappropriate sticker,Workplace Common Area
ACC,Wing Staff Agency,Inappropriate/Offensive,1,Class ceiling tile,Workplace Common Area
ACC,Wing Staff Agency,Inappropriate/Offensive,45,Inappropriate files - shared drive (not lewd),Workplace Common Area
ACC,Wing Staff Agency,Inappropriate/Offensive,2,Inappropriate Squadron Mugs,Workplace Common Area
ACC,Wing Staff Agency,Inappropriate/Offensive,2,Inappropriate drawing on dry erase board in common area,Workplace Common Area
ACC,Wing Staff Agency,Inappropriate/Offensive,2,Posters,Workplace Common Area
ACC,Wing Staff Agency,Inappropriate/Offensive,5,Magazines,Workplace Common Area
ACC,Wing Staff Agency,Inappropriate/Offensive,2,Calendars,Workplace Common Area
ACC,Wing Staff Agency,Inappropriate/Offensive,3,Movie and Magazines Content,Dorm Common Areas
ACC,Group,Inappropriate/Offensive,97,items,Workplace Common Area
ACC,Wing Staff Agencies,Inappropriate/Offensive,2,items,Workplace Common Area
ACC,Group,Inappropriate/Offensive,16,Obscene Graffiti,Latrines
ACC,Group,Inappropriate/Offensive,34,items,Murals (common areas)
ACC,Squadron,Inappropriate/Offensive,3,Publications & magazines,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,3,Photos,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,2,Posters,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,5,Profane quotations/comments,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,5,R Rated DVDs,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,Graffiti,Latrines
ACC,Squadron,Inappropriate/Offensive,1,Graffiti,Top of perimeter
ACC,Squadron,Inappropriate/Offensive,5,Inappropriate images,Network Drives
ACC,Group,inappropriate/offensive,3,"""Unrated""-version commercial movies",Workplace Common Area
ACC,Group,inappropriate/offensive,1,Locker nametape,Workplace Common Area
ACC,Group,inappropriate/offensive,1,Language,Workplace Common Area
ACC,Group,unprofessional,1,Patch,Workplace Common Area
ACC,Group,inappropriate/offensive,1,joke report w/suggestive language,Workplace Common Area
ACC,Group,inappropriate/offensive,1,Picture,shared drive
ACC,Group,inappropriate/offensive,1,Photo,shared drive
ACC,Group,inappropriate/offensive,1,Graffiti,Workplace Common Area
ACC,Group,inappropriate/offensive,1,Decal on clock,Workplace Common Area
ACC,Group,inappropriate/offensive,7,Magazine,""
ACC,Group,inappropriate/offensive,1,Cheerleader calendar,Workplace Common Area
ACC,Group,inappropriate/offensive,1,Magazine,PT Breakroom
ACC,Group,inappropriate/offensive,1,Figurine,Workplace Common Area
ACC,Group,inappropriate/offensive,7,Biker Magazine (suggestive pictures),Workplace Common Area
ACC,Group,inappropriate/offensive,1,binder cover - Alcohol reference/inappropriate comment,Workplace Common Area
ACC,Group,inappropriate/offensive,2,Wallpaper pic,Workplace Common Area
ACC,Group,inappropriate/offensive,1,Bobble head doll,Housekeeping Office
ACC,Group,inappropriate/offensive,1,Picture,shared drive
ACC,Group,inappropriate/offensive,1,Art,shared drive
ACC,Group,inappropriate/offensive,2,Brit Video/comedy - movie clips,Shared drive
ACC,Group,inappropriate/offensive,1,Advertisement,Workplace Common Area
ACC,Group,inappropriate/offensive,7,calendar,common area desk drawer/lock
ACC,Group,inappropriate/offensive,1,cardboard cutout of waitress serving beer,Heritage Room
ACC,Group,inappropriate/offensive,1,Drawing on dry erase board,Workplace Common Area
ACC,Group,inappropriate/offensive,2,Image,shared drive
ACC,Group,inappropriate/offensive,1,cartoon w/ Explicit language,Workplace Common Area
ACC,Group,inappropriate/offensive,1,Art,shared drive
ACC,Group,inappropriate/offensive,1,Coaster,Workplace Common Area
ACC,Group,inappropriate/offensive,1,Image,shared drive
ACC,Group,inappropriate/offensive,1,Comic,Workplace Common Area
ACC,Group,inappropriate/offensive,13,commercial spoofs/sketch comedy/crude humor,computer files
ACC,Group,inappropriate/offensive,7,Magazine,Workplace Common Area
ACC,Group,unprofessional,1,Photo,Support break area
ACC,Group,inappropriate/offensive,2,Demotivational posters,Workplace Common Area
ACC,Group,inappropriate/offensive,17,Calendar,Workplace Common Area
ACC,Group,inappropriate/offensive,2,Magazine,Workplace Common Area
ACC,Group,inappropriate/offensive,1,Picture,shared drive
ACC,Group,inappropriate/offensive,2,Images,Shared drive/office
ACC,Group,unprofessional,4,Morale patch,Workplace Common Area
ACC,Group,inappropriate/offensive,1,Poster,Shared drive
ACC,Group,unprofessional,25,fighter songs,computer files
ACC,Group,inappropriate/offensive,1,File title,computer files
ACC,Group,inappropriate/offensive,5,Magazine,Workplace Common Area
ACC,Group,inappropriate/offensive,1,Video,shared drive
ACC,Group,inappropriate/offensive,20,flyers - inappropriate language/content/unprofessional material,Workplace Common Area
ACC,Group,unprofessional,1,framed photo - 1940's era Nose Art From Aircraft,Shared drive
ACC,Group,inappropriate/offensive,1,Picture,Workplace Common Area
ACC,Group,inappropriate/offensive,4,Magazine,""
ACC,Group,inappropriate/offensive,1,Drawing,Workplace Common Area
ACC,Group,inappropriate/offensive,4,Advertisements,Workplace Common Area
ACC,Group,inappropriate/offensive,1,Magazine,Workplace Common Area
ACC,Group,inappropriate/offensive,5,Calendars and photos,Workplace Common Area
ACC,Group,unprofessional,8,Morale patch images,Shared drive
ACC,Group,inappropriate/offensive,1,Inappropriate Advertising image,Shared drive
ACC,Group,unprofessional,1,Inappropriate caption on coin,Workplace Common Area
ACC,Group,inappropriate/offensive,6,Inappropriate Motto - slogans,Workplace Common Area
ACC,Group,inappropriate/offensive,74,Inappropriate photos,Shared drive/heritage room
ACC,Group,inappropriate/offensive,1,Inappropriate quote on desk sticker,Workplace Common Area
ACC,Group,inappropriate/offensive,1,Inappropriate slogan on coffee cup,Workplace Common Area
ACC,Group,inappropriate/offensive,20,Inappropriate Video title - movie clip,Shared drive
ACC,Group,inappropriate/offensive,1,Cheerleader Poster,Workplace Common Area
ACC,Group,unprofessional,2,Joke book with some nudity/vulgar words,Workplace Common Area
ACC,Group,unprofessional,1,Picture,shared drive
ACC,Group,inappropriate/offensive,1,Photo,shared drive
ACC,Group,inappropriate/offensive,1,Lewd gesture in photo,Workplace Common Area
ACC,Group,inappropriate/offensive,1,Cardboard advertising cutout,Workplace Common Area
ACC,Group,inappropriate/offensive,1,lighter w/inappropriate inscription,Housekeeping Office
ACC,Group,inappropriate/offensive,2,"locker decorations w/offensive ""cartoon caption bubbles""",Workplace Common Area
ACC,Group,inappropriate/offensive,1,Magnet - nose art reproduction,Workplace Common Area
ACC,Group,inappropriate/offensive,1,Drawing on display item,Workplace Common Area
ACC,Group,inappropriate/offensive,4,Magazine,Men's Bathroom/conference roo
ACC,Group,inappropriate/offensive,10,Magazine,Workplace Common Area
ACC,Group,unprofessional,1,Morale patch,Workplace Common Area
ACC,Group,unprofessional,1,Morale patch - 1960's/1970's; not specifically quantified,Workplace Common Area
ACC,Group,inappropriate/offensive,19,Movie containing suggestive images,Workplace Common Area
ACC,Group,inappropriate/offensive,2,Magazine,Workplace Common Area
ACC,Group,inappropriate/offensive,1,Poster,Workplace Common Area
ACC,Group,inappropriate/offensive,5,offensive photos,Shared Drive
ACC,Group,inappropriate/offensive,1,Image on slide,shared drive
ACC,Group,inappropriate/offensive,1,Picture,shared drive
ACC,Group,unprofessional,1,Morale patch,Workplace Common Area
ACC,Group,inappropriate/offensive,6,Magazine,Workplace Common Area
ACC,Group,inappropriate/offensive,28,Pictures of individuals--none explict,Shared drive
ACC,Group,unprofessional,1,photo - Tail paint,shared drive
ACC,Group,inappropriate/offensive,1,Photo of mbr with inappropriate caption,Workplace Common Area
ACC,Group,inappropriate/offensive,2,pic - Obscene Gesture,Workplace Common Area
ACC,Group,inappropriate/offensive,56,Pictures,Shared drive
ACC,Group,inappropriate/offensive,1,Picture,Workplace Common Area
ACC,Group,inappropriate/offensive,1,Picture,computer files
ACC,Group,inappropriate/offensive,1,Picture,Workplace Common Area
ACC,Group,inappropriate/offensive,1,Advertisement,shared drive
ACC,Group,inappropriate/offensive,1,Image w/offensive language,Z: drive (common)
ACC,Group,inappropriate/offensive,2,Postcards w/language,Workplace Common Area
ACC,Group,inappropriate/offensive,1,Picture,shared drive
ACC,Group,inappropriate/offensive,5,ppt w/inappropriate statements,Shared drive
ACC,Group,inappropriate/offensive,2,questionable music lyrics - movie clips,Shared drive
ACC,Group,inappropriate/offensive,2,questionable pictures,Workplace Common Area
ACC,Group,inappropriate/offensive,2,Questionable Quote comics,Workplace Common Area
ACC,Group,inappropriate/offensive,2,Questionable Quotes on Shirts,Heritage Room
ACC,Group,inappropriate/offensive,1,quote - Explicit Language,Workplace Common Area
ACC,Group,inappropriate/offensive,1,R rated movie,Workplace Common Area
ACC,Group,inappropriate/offensive,1,Magazine,Workplace Common Area
ACC,Group,inappropriate/offensive,1,Magazine,Workplace Common Area
ACC,Group,inappropriate/offensive,1,Calendar picture,Workplace Common Area
ACC,Group,inappropriate/offensive,1,CD cover,Workplace Common Area
ACC,Group,unprofessional,2,Suggestive/questionable quotes patches,Workplace Common Area
ACC,Group,inappropriate/offensive,3,Video,shared drive
ACC,Group,inappropriate/offensive,1,Image,Workplace Common Area
ACC,Group,unprofessional,2,Photocopies of vintage aircraft art,Workplace Common Area
ACC,Group,unprofessional,2,song,Shared Drive
ACC,Group,inappropriate/offensive,1,Pic,shared drive
ACC,Group,inappropriate/offensive,1,Magazine,Workplace Common Area
ACC,Group,unprofessional,1,Mug,Workplace Common Area
ACC,Group,inappropriate/offensive,1,Pic,shared drive
ACC,Group,inappropriate/offensive,1,joke essay,Workplace Common Area
ACC,Group,inappropriate/offensive,1,Suggestive nose art,Workplace Common Area
ACC,Group,inappropriate/offensive,16,Suggestive images,Shared drive
ACC,Group,inappropriate/offensive,1,pic,shared drive
ACC,Group,inappropriate/offensive,1,toy w/offensive quotes,Workplace Common Area
ACC,Group,inappropriate/offensive,1,pic,shared drive
ACC,Group,inappropriate/offensive,1,pic,shared drive
ACC,Group,unprofessional,2,Songbook,Shared Drive
ACC,Group,inappropriate/offensive,21,unprofessional blooper videos,shared drive
ACC,Group,inappropriate/offensive,1,Magazine,Workplace Common Area
ACC,Group,inappropriate/offensive,5,Video file containing suggestive images,Shared drive
ACC,Group,inappropriate/offensive,1,Pic,shared drive
ACC,Group,inappropriate/offensive,1,Pic,shared drive
ACC,Group,inappropriate/offensive,2,Magazine,Workplace Common Area
ACC,squadron,inappropriate/offensive,1,Advertisement,Shared drive
ACC,squadron,inappropriate/offensive,237,"""demotivational"" images",Shared drive
ACC,squadron,inappropriate/offensive,30,Images,Shared drive
ACC,squadron,inappropriate/offensive,40,Images,Shared drive
ACC,squadron,inappropriate/offensive,44,photos,Shared drive
ACC,squadron,inappropriate/offensive,2,TV show clip,Workplace Common Area
ACC,squadron,inappropriate/offensive,2,derogatory cartoon strips,Shared drive
ACC,squadron,inappropriate/offensive,1,Poster,Workplace Common Area
ACC,squadron,inappropriate/offensive,1,Image on slide,NIPR
ACC,squadron,inappropriate/offensive,1,Derogatory photo,NIPR
ACC,squadron,inappropriate/offensive,1,Advertisement,NIPR
ACC,squadron,inappropriate/offensive,1,Cheerleader calendar,Workplace Common Area
ACC,squadron,unprofessional,1,Log book (derogatory events/stories),Workplace Common Area
ACC,squadron,unprofessional,1,Log book (language),Workplace Common Area
ACC,squadron,unprofessional,1,Joke guide book,computer
ACC,squadron,inappropriate/offensive,1,Pics,NIPR
ACC,squadron,inappropriate/offensive,2,Crash video with explicit language,NIPR Shared Drive
ACC,squadron,unprofessional,17,word documents w/language & drinking references,NIPR
ACC,squadron,inappropriate/offensive,1,music file including vulgar and inappropriate language,Shared drive
ACC,squadron,inappropriate/offensive,1,advertisements,NIPR
ACC,squadron,inappropriate/offensive,1,Magazine,Workplace Common Area
ACC,squadron,inappropriate/offensive,1,TV clip,SIPR
ACC,squadron,inappropriate/offensive,1,Joke rank chart,Workplace Common Area
ACC,squadron,inappropriate/offensive,1,Movie,Workplace Common Area
ACC,squadron,inappropriate/offensive,1,Movie,Workplace Common Area
ACC,squadron,inappropriate/offensive,1,Cartoon,NIPR
ACC,squadron,inappropriate/offensive,1,Movie,Workplace Common Area
ACC,squadron,inappropriate/offensive,1,Movie,Workplace Common Area
ACC,squadron,inappropriate/offensive,1,Movie,Workplace Common Area
