Name,Address,City,Category,Rating,URL
Wendy's,4330 Boston Rd,Bronx,Fast Food,2.0,http://www.yelp.com/biz/wendys-bronx-2
Cooyah Restaurant,3563 Boston Rd,New York,Ethnic Food,4.5,http://www.yelp.com/biz/cooyah-restaurant-new-york
China Top,3563 Boston Road,Bronx,Chinese,3.5,http://www.yelp.com/biz/china-top-bronx
Wendy's,3636 Boston Rd,Bronx,Fast Food,3.5,http://www.yelp.com/biz/wendys-bronx
Ali's Roti Shop,4220 White Plains Rd,Bronx,Trinidadian,4.0,http://www.yelp.com/biz/alis-roti-shop-bronx
Applebees,2276 Bartow Ave,Bronx,Bars,2.0,http://www.yelp.com/biz/applebees-bronx-4
Cozy Cottage,4105 Boston Rd,Bronx,Breakfast & Brunch,4.5,http://www.yelp.com/biz/cozy-cottage-bronx
Burger King,3500 Boston Rd,Bronx,Burgers,3.0,http://www.yelp.com/biz/burger-king-bronx-12
Nick's Pizza Restaurant,1356 E Gun Hill Rd,Bronx,Pizza,3.0,http://www.yelp.com/biz/nicks-pizza-restaurant-bronx
Greek Express,3733 Riverdale Ave,Bronx,Greek,4.5,http://www.yelp.com/biz/greek-express-bronx
Madisons Restaurant & Bar,5686 Riverdale Ave,Bronx,Bars,3.5,http://www.yelp.com/biz/madisons-restaurant-and-bar-bronx
Broadway Joe's Pizza,5983 Broadway,Bronx,Pizza,4.5,http://www.yelp.com/biz/broadway-joes-pizza-bronx
Nona's Pizza,6100 Riverdale Ave,Bronx,Italian,4.0,http://www.yelp.com/biz/nonas-pizza-bronx
Liebman's Kosher Delicatessen,552 W 235th St,Bronx,Delis,4.0,http://www.yelp.com/biz/liebmans-kosher-delicatessen-bronx
Barbecue Pit,5788 Mosholu Ave,Bronx,Barbeque,3.5,http://www.yelp.com/biz/barbecue-pit-bronx
Gleeson's Sports Bar & Grill,6115 Broadway,Bronx,Sports Bars,4.0,http://www.yelp.com/biz/gleesons-sports-bar-and-grill-bronx
Yo-Burger,3726 Riverdale Ave,Bronx,Burgers,4.0,http://www.yelp.com/biz/yo-burger-bronx
Santa Fe Grill,6025 Broadway,Bronx,Mexican,3.5,http://www.yelp.com/biz/santa-fe-grill-bronx
Genericos's Pizzeria and Cafe',3535 Riverdale Ave,Bronx,Cafes,3.5,http://www.yelp.com/biz/genericoss-pizzeria-and-cafe-bronx
The Bronx Burger House,5816 Mosholou Ave,Bronx,Burgers,4.0,http://www.yelp.com/biz/the-bronx-burger-house-bronx
Hola Espana,5586 Broadway,New York,Spanish,4.0,http://www.yelp.com/biz/hola-espana-new-york
Cafe Blue,3509 Johnson Ave,Bronx,Diners,3.5,http://www.yelp.com/biz/cafe-blue-bronx
Dino's Pizza,5660 Mosholu Ave,Bronx,Pizza,4.5,http://www.yelp.com/biz/dinos-pizza-bronx
Cumin Indian Restaurant,3549 Johnson Ave,Bronx,Indian,3.5,http://www.yelp.com/biz/cumin-indian-restaurant-bronx-2
Metate,3515 Johnson Ave,Bronx,Mexican,3.0,http://www.yelp.com/biz/metate-bronx
Loeser's Old Fashioned Kosher Deli,214 W 231st St,Bronx,Delis,4.5,http://www.yelp.com/biz/loesers-old-fashioned-kosher-deli-bronx
New Nagoya Sushi,5786 Mosholu Ave,Bronx,Japanese,3.0,http://www.yelp.com/biz/new-nagoya-sushi-bronx
Addeo's Riverdale Pizzeria,5654 Riverdale Ave,Bronx,Pizza,3.5,http://www.yelp.com/biz/addeos-riverdale-pizzeria-bronx
Christos Gyro,3625 Kingsbridge Ave,Bronx,Greek,4.5,http://www.yelp.com/biz/christos-gyro-bronx
Greek Express,3733 Riverdale Ave,Bronx,Greek,4.5,http://www.yelp.com/biz/greek-express-bronx
Hola Espana,5586 Broadway,New York,Spanish,4.0,http://www.yelp.com/biz/hola-espana-new-york
Liebman's Kosher Delicatessen,552 W 235th St,Bronx,Delis,4.0,http://www.yelp.com/biz/liebmans-kosher-delicatessen-bronx
Loeser's Old Fashioned Kosher Deli,214 W 231st St,Bronx,Delis,4.5,http://www.yelp.com/biz/loesers-old-fashioned-kosher-deli-bronx
Yo-Burger,3726 Riverdale Ave,Bronx,Burgers,4.0,http://www.yelp.com/biz/yo-burger-bronx
Broadway Joe's Pizza,5983 Broadway,Bronx,Pizza,4.5,http://www.yelp.com/biz/broadway-joes-pizza-bronx
Genericos's Pizzeria and Cafe',3535 Riverdale Ave,Bronx,Cafes,3.5,http://www.yelp.com/biz/genericoss-pizzeria-and-cafe-bronx
P & K Grille,170 W 231st St,Bronx,Burgers,4.0,http://www.yelp.com/biz/p-and-k-grille-bronx-2
Picante Picante,156 W 231st St,Bronx,Mexican,4.5,http://www.yelp.com/biz/picante-picante-bronx-2
Cafe Blue,3509 Johnson Ave,Bronx,Diners,3.5,http://www.yelp.com/biz/cafe-blue-bronx
Cumin Indian Restaurant,3549 Johnson Ave,Bronx,Indian,3.5,http://www.yelp.com/biz/cumin-indian-restaurant-bronx-2
Metate,3515 Johnson Ave,Bronx,Mexican,3.0,http://www.yelp.com/biz/metate-bronx
Santa Fe Grill,6025 Broadway,Bronx,Mexican,3.5,http://www.yelp.com/biz/santa-fe-grill-bronx
Gleeson's Sports Bar & Grill,6115 Broadway,Bronx,Sports Bars,4.0,http://www.yelp.com/biz/gleesons-sports-bar-and-grill-bronx
El Economico Restaurant,5589 Broadway,Bronx,Latin American,4.0,http://www.yelp.com/biz/el-economico-restaurant-bronx
Christos Gyro,3625 Kingsbridge Ave,Bronx,Greek,4.5,http://www.yelp.com/biz/christos-gyro-bronx
Palace of Japan,3505 Johnson Ave,Bronx,Japanese,3.5,http://www.yelp.com/biz/palace-of-japan-bronx
Dale Restaurant,189 W 231st St,Bronx,Diners,4.0,http://www.yelp.com/biz/dale-restaurant-bronx-2
Mr. Nick's Pizza & Pasta,3552 Johnson Ave,New York,Italian,3.0,http://www.yelp.com/biz/mr-nicks-pizza-and-pasta-new-york
Madisons Restaurant & Bar,5686 Riverdale Ave,Bronx,Bars,3.5,http://www.yelp.com/biz/madisons-restaurant-and-bar-bronx
Greek Express,3733 Riverdale Ave,Bronx,Greek,4.5,http://www.yelp.com/biz/greek-express-bronx
Hola Espana,5586 Broadway,New York,Spanish,4.0,http://www.yelp.com/biz/hola-espana-new-york
Caridad Restaurant,135 W Kingsbridge Rd,Bronx,Latin American,4.0,http://www.yelp.com/biz/caridad-restaurant-bronx-2
Loeser's Old Fashioned Kosher Deli,214 W 231st St,Bronx,Delis,4.5,http://www.yelp.com/biz/loesers-old-fashioned-kosher-deli-bronx
P & K Grille,170 W 231st St,Bronx,Burgers,4.0,http://www.yelp.com/biz/p-and-k-grille-bronx-2
Picante Picante,156 W 231st St,Bronx,Mexican,4.5,http://www.yelp.com/biz/picante-picante-bronx-2
Tino's Delicatessen,2410 Arthur Ave,Bronx,Delis,4.5,http://www.yelp.com/biz/tinos-delicatessen-bronx
Mei Mei Restaurant,2833 Grand Concourse,Bronx,Chinese,4.0,http://www.yelp.com/biz/mei-mei-restaurant-bronx
Liebman's Kosher Delicatessen,552 W 235th St,Bronx,Delis,4.0,http://www.yelp.com/biz/liebmans-kosher-delicatessen-bronx
Grandpa's Brick Oven Pizza,4973 Broadway,New York,Pizza,4.0,http://www.yelp.com/biz/grandpas-brick-oven-pizza-new-york
Mike's Deli,2344 Arthur Ave,Bronx,Caterers,4.5,http://www.yelp.com/biz/mikes-deli-bronx
Broadway Joe's Pizza,5983 Broadway,Bronx,Pizza,4.5,http://www.yelp.com/biz/broadway-joes-pizza-bronx
El Economico Restaurant,5589 Broadway,Bronx,Latin American,4.0,http://www.yelp.com/biz/el-economico-restaurant-bronx
Michaelangelo's Little Italy,2477 Arthur Ave,Bronx,Lounges,4.0,http://www.yelp.com/biz/michaelangelos-little-italy-bronx
