time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-06-10T15:41:08.000Z,18.9127,-64.4605,36,2.7,Md,5,324,0.51383634,0.14,pr,pr14161006,2014-06-10T23:43:35.185Z,"57km NNE of Road Town, British Virgin Islands",earthquake
2014-06-10T15:29:48.400Z,35.716,-97.4273,5.289,2.7,ml,,50,,0.37,us,usc000rdbi,2014-06-11T04:08:07.972Z,"8km NNE of Edmond, Oklahoma",earthquake
2014-06-10T15:20:16.000Z,59.0952,-153.0664,73.9,2.8,ml,74,89.9999928000006,0.2838676,0.62,ak,ak11287999,2014-06-10T23:22:57.221Z,"103km SW of Anchor Point, Alaska",earthquake
2014-06-10T15:13:51.000Z,35.7162,-97.4272,5.571,3.1,ml,,50,,0.3,us,usc000rdb9,2014-06-10T18:44:05.260Z,"8km NNE of Edmond, Oklahoma",earthquake
2014-06-10T15:01:52.430Z,2.2079,-98.9608,15.51,4.9,mb,,196,9.133,0.58,us,usc000rdal,2014-06-10T23:04:29.305Z,"West of the Galapagos Islands",earthquake
2014-06-10T14:56:01.000Z,62.0492,-148.2405,25.4,3.1,ml,,,,0.6,ak,ak11287988,2014-06-10T22:58:26.914Z,"42km NE of Sutton-Alpine, Alaska",earthquake
2014-06-10T14:40:35.200Z,18.95,-66.2863,39,2.9,Md,11,262.8,0.5228195,0.12,pr,pr14161005,2014-06-10T22:48:20.456Z,"53km N of Brenas, Puerto Rico",earthquake
2014-06-10T13:25:12.920Z,17.2922,-101.151,76.11,4,mb,,231,2.342,0.84,us,usc000rd9j,2014-06-10T16:03:29.731Z,"27km SSE of Petatlan, Mexico",earthquake
2014-06-10T13:16:54.460Z,12.7801,143.3099,98.22,4.7,mb,,31,1.717,0.6,us,usc000rd9i,2014-06-10T21:19:27.444Z,"156km WSW of Merizo Village, Guam",earthquake
2014-06-10T13:14:46.740Z,43.2173,-126.7323,10,3.2,ml,,240,2.691,0.58,us,usc000rd9g,2014-06-10T21:19:02.204Z,"189km W of Bandon, Oregon",earthquake
2014-06-10T13:10:40.850Z,-8.1095,104.833,29.5,4.7,mb,,171,2.49,0.51,us,usc000rd9h,2014-06-10T21:19:05.707Z,"168km SSW of Cicadas, Indonesia",earthquake
2014-06-10T12:37:23.790Z,16.6931,-94.3396,89.82,4.2,mb,,180,2.152,1.22,us,usc000rd95,2014-06-10T20:40:03.768Z,"23km N of Santo Domingo Zanatepec, Mexico",earthquake
2014-06-10T11:24:09.000Z,67.6681,-162.7336,12.1,2.6,ml,,,,1.39,ak,ak11287899,2014-06-10T19:43:34.352Z,"14km NE of Noatak, Alaska",earthquake
2014-06-10T10:33:27.360Z,6.8125,-73.0805,161.3,4.1,mb,,130,0.879,1.13,us,usc000rd80,2014-06-10T18:35:57.069Z,"14km NNW of Aratoca, Colombia",earthquake
2014-06-10T09:16:20.680Z,9.8025,125.854,10,4.9,mb,,82,9.096,0.99,us,usc000rd7r,2014-06-10T17:18:54.008Z,"14km WSW of Del Carmen, Philippines",earthquake
2014-06-10T07:19:55.280Z,35.7378,-97.4347,6.85,3,mb_lg,,48,0.06,0.54,us,usc000rd76,2014-06-11T02:49:35.153Z,"10km NNE of Edmond, Oklahoma",earthquake
2014-06-10T06:28:10.500Z,18.9015,-65.246,36,3.3,Md,19,230.4,0.59198977,0.27,pr,pr14161001,2014-06-10T14:30:43.043Z,"66km N of Culebra, Puerto Rico",earthquake
2014-06-10T05:26:04.500Z,19.1396,-66.7885,10,2.8,Md,3,352.8,0.99802828,0.07,pr,pr14161002,2014-06-10T13:28:42.805Z,"72km N of Hatillo, Puerto Rico",earthquake
2014-06-10T04:03:26.880Z,-16.7405,-72.9999,63.73,5.1,mb,,143,3.009,1.09,us,usc000rd6q,2014-06-10T15:37:58.000Z,"33km WSW of Camana, Peru",earthquake
2014-06-10T01:21:37.800Z,18.8565,-64.3744,9,3.1,Md,6,309.6,0.49407341,0.23,pr,pr14161000,2014-06-10T09:24:11.792Z,"54km NNE of Road Town, British Virgin Islands",earthquake
2014-06-09T23:54:15.730Z,32.4676,105.0869,18.51,5,mb,,39,11.147,1.13,us,usc000rd63,2014-06-10T00:45:43.731Z,"14km NNW of Suhe, China",earthquake
2014-06-09T21:51:39.910Z,10.1748,122.0638,10,4.9,mb,,117,7.096,0.77,us,usc000rd4u,2014-06-10T05:54:12.896Z,"29km SSE of Magdalena, Philippines",earthquake
2014-06-09T21:45:12.580Z,10.0089,122.2432,10,5.2,mb,,86,7.151,1.31,us,usc000rd4q,2014-06-10T17:02:20.000Z,"23km NW of Bulata, Philippines",earthquake
2014-06-09T21:11:47.800Z,49.493,-120.5078,0,2.5,Md,,219.6,0.61085439,0.46,uw,uw60805201,2014-06-10T05:16:24.032Z,"3km N of Princeton, Canada",quarry
2014-06-09T20:18:11.000Z,56.2048,-157.4961,47.3,3,ml,37,158.399987328001,0.5183279,0.62,ak,ak11287681,2014-06-10T04:20:40.328Z,"78km E of Chignik Lake, Alaska",earthquake
